user,skill,rate
5945,297,0
4629,262,0
6442,154,1
16113,652,0
3755,759,1
5955,170,1
8256,131,0
15201,80,0
10877,29,0
5235,690,1
12664,418,1
12448,785,1
1233,255,1
10623,310,1
977,532,0
8803,874,0
2810,923,1
1609,44,1
5474,30,1
10809,330,1
2883,506,1
8292,349,1
12039,420,0
5748,338,1
7619,554,1
8345,934,1
8467,100,1
14687,759,1
911,664,1
7535,18,1
8138,466,0
1958,678,1
914,916,1
16212,100,1
3572,714,1
12787,30,1
2374,334,1
10218,317,0
10759,606,1
10972,430,0
6143,768,1
15230,185,1
16822,895,0
5745,812,1
16071,212,0
533,929,1
18382,554,1
5869,5,1
391,768,1
1858,926,0
3357,991,1
527,338,1
7049,753,1
2353,84,0
6364,856,0
4673,796,0
12834,263,0
314,923,1
8422,855,0
13074,100,1
3865,532,1
4320,462,0
572,303,1
6157,525,1
7607,996,0
10502,873,0
1743,521,1
7745,400,0
845,44,1
10372,136,1
4520,269,0
1786,759,1
9276,84,1
17957,582,1
4269,738,1
16380,452,0
17770,597,0
13466,718,0
1374,334,1
3038,18,1
9663,396,1
5805,901,0
8993,705,0
209,690,1
15509,724,0
11953,260,1
510,990,0
1159,759,1
16514,734,0
9091,552,0
3987,23,0
12643,190,0
57,784,1
2201,996,1
16535,768,1
2893,399,1
6297,100,1
11984,821,0
3624,613,1
624,170,1
6013,932,1
14166,932,1
11168,850,1
16777,32,0
8931,32,1
14617,100,0
14379,297,1
6521,84,1
14018,872,0
1444,986,1
9635,84,1
46,202,1
1462,234,1
5585,957,1
13855,839,0
2649,984,1
8126,687,0
5241,730,1
14312,12,0
8919,671,0
18399,181,0
5847,914,0
13829,768,1
12815,520,1
5902,932,1
5466,613,1
1348,51,0
16828,629,0
1126,440,1
4628,812,1
3261,589,1
10089,949,1
2121,860,0
5628,398,0
6894,338,1
15136,836,0
7213,720,0
1008,606,1
4946,684,1
5454,521,1
6534,635,0
11789,234,1
12105,445,0
185,494,0
339,812,1
1126,18,1
1340,755,1
2965,866,0
3523,962,1
9787,507,1
15200,665,1
815,578,0
9969,169,1
783,221,1
2580,44,1
7836,768,1
752,506,1
9581,343,0
1954,32,1
2698,492,0
993,333,1
329,224,1
16926,916,0
18321,175,0
1846,825,0
3518,563,1
2448,768,1
17032,506,1
3876,759,1
8806,420,1
3366,418,1
16641,664,1
16349,867,0
499,666,0
7882,310,1
6715,510,1
16297,657,1
7428,44,0
2160,851,0
3149,507,1
203,714,1
3877,234,1
7603,690,1
7590,264,1
1027,100,1
12367,842,1
14305,744,0
5187,665,1
4015,303,1
7621,18,1
18287,32,1
9462,18,1
5891,949,1
769,531,0
16428,840,0
7571,851,0
2807,92,0
4666,208,1
5622,714,1
6988,356,0
17227,469,0
7324,418,1
80,738,1
5754,690,1
2417,503,0
531,983,1
10048,59,1
14271,451,0
9919,524,0
5801,84,0
947,753,1
17278,428,0
15516,116,0
7182,367,0
1471,991,1
